id,run,mapped_ms,settled_ms,pss_kb,cpu_s,child_pss_kb,thumbs_n,pss_anon_kb,uss_kb,drm_kb,thumbs_by_dir,cpu_tree_s,thumbs_by_format,ranked,preview_ms,cpu_reaped_s
thunar,3,529,13230,39814,7.56,58256,221,23764,27416,0,fail=0;large=0;normal=221,21.36,heic=0;jpg=0;mkv=37;mp4=148;png=0;txt=0;webm=36;webp=0;unknown=0,yes,-,21.15
pcmanfm,3,447,-1,40154,41.12,0,686,17088,28980,0,fail=0;large=0;normal=686,157.13,heic=0;jpg=0;mkv=100;mp4=400;png=86;txt=0;webm=100;webp=0;unknown=0,yes,-,103.11
nemo,3,879,2997,55686,2.48,0,60,29792,44312,0,fail=0;large=60,9.30,heic=0;jpg=45;mkv=0;mp4=0;png=0;txt=0;webm=0;webp=15;unknown=0,yes,-,5.63
dolphin,3,739,13832,95370,5.24,0,500,40372,71440,0,fail=0;large=500,67.87,heic=0;jpg=50;mkv=75;mp4=300;png=0;txt=0;webm=75;webp=0;unknown=0,yes,-,66.29
strata,3,556,2876,76453,1.01,0,42,43404,70340,122384,fail=0;large=42,7.08,heic=0;jpg=0;mkv=7;mp4=28;png=0;txt=0;webm=7;webp=0;unknown=0,yes,-,1.22
yazi,3,298,1762,49576,0.31,0,n/a,32980,49372,0,fail=0;large=0,1.69,n/a,n/a: tui in kitty,133,1.21
mc,3,296,956,5434,0.04,0,n/a,3488,5148,0,fail=0;large=0,0.86,n/a,n/a: tui in kitty,-1,0.04
broot,3,305,528,4237,0.01,0,n/a,708,4196,0,fail=0;large=0,0.43,n/a,n/a: tui in kitty,-1,0.01
nnn,3,328,585,2577,0.02,0,n/a,1980,2468,0,fail=0;large=0,0.60,n/a,n/a: tui in kitty,135,0.02
lf,3,317,706,18374,0.16,0,n/a,15380,16192,0,fail=0;large=0,0.67,n/a,n/a: tui in kitty,134,0.16
ranger,3,303,928,29841,0.29,0,n/a,27076,27908,0,fail=0;large=0,0.78,n/a,n/a: tui in kitty,134,0.30
xplr,3,299,645,14093,0.20,0,n/a,9284,14008,0,fail=0;large=0,0.72,n/a,n/a: tui in kitty,-1,0.20
superfile,3,326,1340,159501,0.44,0,n/a,144668,159396,0,fail=0;large=0,1.43,n/a,n/a: tui in kitty,-1,0.87
